org,sesi,
2602,3015,2602
3015,24938,3015
3152,32687,3152
3182,34982,3182
3198,6944,3198
3201,6953,3201
3349,7055,3349
5979,7058,5979
6092,7180,6092
6944,7203,6944
6947,7209,#N/A
6949,7270,#N/A
6950,7271,6950
6953,7303,6953
6955,7364,6955
6981,10067,6981
7010,13430,7010
7021,14149,7021
7055,14579,7055
7057,14585,7057
7058,14598,7058
7077,14664,7077
7175,14989,7175
7177,15921,#N/A
7178,16626,7178
7180,17731,7180
7201,17935,7201
7203,18798,7203
7207,19215,#N/A
7209,19413,7209
7210,19457,7210
7232,19479,7232
7263,19646,#N/A
7270,21134,7270
7271,21335,7271
7273,21386,7273
7274,21675,7274
7303,21706,7303
7364,22189,7364
7366,23326,7366
7370,23333,7370
7374,23850,7374
7376,24133,7376
7378,24192,7378
8818,24672,#N/A
9346,27039,9346
10004,27430,10004
10067,34940,10067
11756,34969,11756
11804,5979,11804
12002,6092,12002
12162,6950,12162
12199,6981,12199
12201,7021,12201
12994,7077,12994
13002,7178,13002
13297,7201,13297
13314,7232,13314
13415,7273,13415
13419,7274,13419
13421,7374,13421
13430,7378,13430
13455,11756,13455
13456,12162,13456
13577,12199,13577
13669,12201,13669
13670,12994,13670
14036,13002,14036
14039,13415,14039
14149,13419,14149
14153,13577,14153
14156,14036,14156
14160,14039,14160
14413,14153,14413
14461,14413,14461
14579,14461,14579
14584,14852,#N/A
14585,14963,14585
14591,15249,14591
14598,16344,14598
14664,16436,14664
14852,16803,14852
14963,17253,14963
14989,17629,14989
15249,17920,15249
15389,18137,15389
15608,18336,15608
15628,18779,15628
15921,18784,15921
16051,18802,16051
16146,18840,16146
16344,19464,16344
16436,19561,16436
16623,20146,16623
16626,20148,16626
16661,20819,#N/A
16706,20912,16706
16803,21009,16803
16950,21336,16950
16964,21367,16964
17079,21655,17079
17233,21926,17233
17253,22027,17253
17270,22132,17270
17293,22423,17293
17629,22484,17629
17731,22669,17731
17920,23084,17920
17922,23092,17922
17935,23266,17935
18061,23268,18061
18137,23274,18137
18177,23278,18177
18336,23287,18336
18338,23298,18338
18563,23305,18563
18779,23311,18779
18784,23330,18784
18798,23335,18798
18802,23343,18802
18840,23347,18840
19101,23353,19101
19215,23362,19215
19391,23367,19391
19413,23373,19413
19457,23374,19457
19464,23381,19464
19479,23391,19479
19561,23394,19561
19590,23402,19590
19646,23411,19646
19654,23502,#N/A
20145,23562,20145
20146,23575,20146
20148,23576,20148
20269,23769,#N/A
20669,23774,20669
20819,23825,20819
20912,23839,20912
21009,23847,21009
21134,23854,21134
21295,23934,21295
21335,23969,21335
21336,23986,21336
21338,23994,21338
21367,23997,21367
21386,24004,21386
21529,24007,21529
21550,24010,21550
21655,24110,21655
21675,24111,21675
21689,24112,21689
21706,24113,21706
21714,24121,21714
21715,24122,21715
21926,24126,21926
22016,24129,22016
22023,24135,22023
22027,24136,22027
22028,24150,22028
22132,24153,22132
22189,24158,22189
22415,24170,22415
22423,24176,22423
22484,24177,22484
22669,24188,22669
22972,24214,22972
23084,24280,23084
23092,24288,23092
23258,24423,23258
23262,24426,23262
23266,24428,23266
23268,24431,23268
23274,24436,23274
23278,24437,23278
23287,24441,23287
23298,24442,23298
23305,24444,23305
23311,24446,23311
23326,24450,23326
23330,24451,23330
23332,24457,23332
23333,24458,23333
23335,24461,23335
23339,24464,23339
23343,24468,23343
23347,24471,23347
23353,24482,23353
23362,24483,23362
23367,24490,23367
23373,24499,23373
23374,24579,23374
23381,24606,23381
23382,24607,23382
23391,24614,23391
23394,24615,23394
23402,24616,23402
23411,24617,23411
23496,24620,23496
23502,24621,23502
23562,24624,23562
23575,24631,23575
23576,24632,23576
23769,24634,23769
23774,24635,23774
23825,24642,23825
23839,24648,23839
23847,24660,23847
23850,24663,23850
23854,24667,23854
23934,24670,23934
23936,24677,23936
23969,24678,23969
23986,24946,23986
23994,24952,23994
23997,24953,23997
24004,24957,24004
24007,24958,24007
24010,24969,24010
24108,25052,24108
24110,25053,24110
24111,25056,24111
24112,25057,24112
24113,25065,24113
24114,25068,24114
24121,25069,24121
24122,25071,24122
24123,25078,24123
24126,25080,24126
24129,25087,24129
24130,25090,24130
24133,25091,24133
24135,25093,24135
24136,25175,24136
24138,25182,24138
24149,25192,24149
24150,25193,24150
24153,25214,24153
24158,25219,24158
24167,25631,24167
24169,25634,24169
24170,25636,24170
24176,25765,24176
24177,25949,24177
24188,25997,24188
24189,26014,24189
24192,26222,24192
24214,26291,24214
24280,26440,24280
24288,26501,24288
24423,26503,24423
24426,26508,24426
24428,26520,24428
24430,26524,24430
24431,26526,24431
24436,26556,24436
24437,26557,24437
24441,26560,24441
24442,27285,24442
24444,27376,24444
24446,27391,24446
24450,27409,24450
24451,27433,24451
24457,27434,24457
24458,27537,24458
24461,27740,24461
24464,27744,24464
24468,27777,24468
24470,27779,24470
24471,27818,24471
24472,27822,24472
24477,27823,#N/A
24482,27836,24482
24483,27837,24483
24486,28050,24486
24490,28061,24490
24496,28068,24496
24499,28081,24499
24579,28110,24579
24606,28121,24606
24607,28146,24607
24611,28163,24611
24614,28169,24614
24615,28181,24615
24616,28513,24616
24617,28524,24617
24620,28535,24620
24621,28543,24621
24624,28560,24624
24627,28566,24627
24631,28575,24631
24632,28576,24632
24634,28577,24634
24635,28578,24635
24636,28598,24636
24638,28915,24638
24642,28940,24642
24648,28959,24648
24660,29188,24660
24663,29222,24663
24665,29436,24665
24667,29571,24667
24670,29630,24670
24672,29631,24672
24677,29662,24677
24678,29719,24678
24742,29728,24742
24908,29729,#N/A
24938,29738,24938
24946,29740,24946
24951,29750,24951
24952,29753,24952
24953,29757,24953
24956,29758,24956
24957,29770,24957
24958,29771,24958
24969,29952,24969
25052,29958,25052
25053,29974,25053
25056,29976,25056
25057,29987,25057
25059,29997,25059
25061,30087,25061
25063,30168,25063
25065,30284,25065
25068,30289,25068
25069,30291,25069
25071,30299,25071
25078,30306,25078
25080,30331,25080
25087,30456,25087
25090,30468,25090
25091,30470,25091
25093,30487,25093
25175,30495,25175
25180,30515,25180
25182,30516,25182
25186,30522,25186
25189,30532,25189
25192,30695,25192
25193,30698,25193
25203,30706,25203
25214,30708,25214
25219,30718,25219
25222,30723,#N/A
25337,30725,25337
25625,30727,25625
25628,30729,25628
25631,30732,25631
25634,30736,25634
25636,31422,25636
25765,31423,25765
25874,31426,25874
25937,31430,25937
25942,31438,25942
25946,31439,25946
25949,31440,25949
25997,31447,25997
26007,31448,26007
26014,31451,26014
26206,31660,26206
26222,31664,26222
26291,31669,26291
26314,31680,26314
26440,31681,26440
26491,31682,26491
26501,31686,26501
26503,31689,26503
26508,31690,26508
26520,31691,26520
26524,31765,26524
26526,31845,26526
26552,31963,26552
26555,31966,26555
26556,31969,26556
26557,31972,26557
26558,31976,26558
26559,32219,26559
26560,32682,26560
26561,32693,26561
26568,32702,26568
27039,33132,27039
27047,33143,27047
27192,33144,27192
27285,33152,27285
27373,33159,27373
27376,33168,27376
27383,33169,27383
27386,33171,27386
27388,33231,27388
27391,33232,27391
27392,33234,27392
27396,33242,27396
27398,33243,27398
27406,33672,27406
27409,33677,27409
27415,33682,27415
27422,33683,27422
27427,33687,27427
27428,33696,27428
27430,33743,27430
27433,33745,27433
27434,33970,27434
27435,33976,27435
27500,33977,27500
27537,33979,27537
27557,33990,27557
27688,33992,27688
27737,33997,27737
27740,34009,27740
27744,34011,27744
27758,34014,27758
27777,34025,27777
27779,34322,27779
27781,34334,27781
27818,34339,27818
27822,34344,27822
27823,34348,27823
27829,34360,27829
27836,34372,27836
27837,34378,27837
28050,34549,28050
28061,34551,28061
28068,34556,28068
28081,34558,28081
28105,34581,28105
28106,34582,28106
28110,34584,28110
28117,34586,28117
28121,34701,28121
28146,34705,28146
28163,34717,28163
28165,34720,28165
28169,34728,28169
28170,34731,28170
28181,34735,28181
28458,34748,28458
28459,34749,28459
28463,34752,28463
28467,34754,28467
28468,34885,28468
28470,34888,28470
28482,34891,28482
28490,34892,28490
28495,34895,28495
28496,34898,28496
28501,34903,28501
28503,34907,28503
28506,34910,28506
28513,34911,28513
28515,34914,28515
28522,34916,28522
28524,34918,28524
28528,34924,28528
28535,34967,28535
28538,34975,28538
28543,34990,28543
28560,34992,28560
28564,34995,28564
28566,35035,28566
28567,35070,28567
28575,35073,28575
28576,35113,28576
28577,35194,28577
28578,35278,28578
28593,35279,28593
28597,35281,28597
28598,35647,28598
28909,35649,28909
28915,35655,28915
28940,35656,28940
28941,35658,28941
28943,35663,28943
28951,35668,28951
28954,36344,28954
28959,36352,28959
28967,36353,28967
28975,36357,28975
28976,36358,28976
29158,36364,29158
29179,36606,29179
29180,36608,29180
29188,36611,29188
29222,36612,29222
29436,36616,29436
29571,36621,29571
29621,36622,29621
29624,36869,29624
29629,36881,29629
29630,36923,29630
29631,37115,29631
29632,37117,29632
29641,37119,29641
29643,37120,29643
29660,37128,29660
29662,37131,29662
29669,37132,29669
29689,37135,29689
29690,37210,29690
29701,37241,29701
29707,37261,29707
29719,37268,29719
29728,37269,29728
29729,37282,29729
29736,37290,29736
29738,37293,29738
29739,37294,29739
29740,37295,29740
29750,37298,29750
29753,37451,29753
29757,37457,29757
29758,37554,29758
29770,37555,29770
29771,37556,29771
29908,37558,29908
29910,37564,29910
29925,37571,29925
29952,37574,29952
29958,37577,29958
29966,37579,29966
29974,37770,29974
29976,37771,29976
29987,37848,29987
29997,37916,29997
29999,37920,29999
30000,37922,30000
30001,37924,30001
30085,37930,30085
30087,37933,30087
30168,37935,30168
30284,37936,30284
30289,37939,30289
30291,37940,30291
30299,37941,30299
30300,37942,30300
30306,37947,30306
30328,37950,30328
30331,38072,30331
30367,38073,30367
30456,38079,30456
30468,38084,30468
30470,38085,30470
30487,38089,30487
30495,38090,30495
30508,38143,30508
30515,38323,30515
30516,38324,30516
30522,38326,30522
30532,38329,30532
30695,38386,30695
30698,38390,30698
30706,38391,30706
30708,38392,30708
30718,38398,30718
30723,38400,30723
30725,38403,30725
30727,38405,30727
30729,38410,30729
30732,38414,30732
30736,38415,30736
31179,38420,31179
31418,38550,31418
31419,38789,31419
31422,38791,31422
31423,38792,31423
31426,38794,31426
31429,38796,31429
31430,38798,31430
31438,38803,31438
31439,38809,31439
31440,38811,31440
31447,38813,31447
31448,38814,31448
31451,38815,31451
31660,38816,31660
31661,38819,31661
31664,38822,31664
31669,38997,31669
31673,39090,31673
31678,39096,31678
31680,39098,31680
31681,39100,31681
31682,39101,31682
31686,39102,31686
31688,39103,31688
31689,39107,31689
31690,39111,31690
31691,39112,31691
31765,39113,31765
31845,39114,31845
31963,39117,31963
31966,39121,31966
31969,39122,31969
31972,39123,31972
31976,39262,31976
32219,39394,32219
32682,39395,32682
32687,39396,32687
32693,39403,32693
32694,39405,32694
32702,39425,32702
33132,39433,33132
33143,39434,33143
33144,39896,33144
33152,39899,33152
33159,39900,33159
33168,39901,33168
33169,39906,33169
33171,39912,33171
33231,39914,33231
33232,39915,33232
33234,39916,33234
33242,39919,33242
33243,39924,33243
33672,39926,33672
33677,39927,33677
33682,39928,33682
33683,39930,33683
33687,39933,33687
33696,39944,33696
33731,39950,33731
33743,39952,33743
33745,39960,33745
33970,39963,33970
33976,40131,33976
33977,40133,33977
33979,40145,33979
33990,40149,33990
33992,40151,33992
33997,40154,33997
34003,40159,34003
34009,40160,34009
34011,40163,34011
34014,40164,34014
34022,40165,34022
34025,40170,34025
34033,40171,34033
34037,40177,34037
34282,40224,34282
34284,40502,34284
34294,40503,34294
34306,40504,34306
34307,40506,34307
34311,40617,34311
34317,40621,34317
34322,40623,34322
34334,40624,34334
34339,40625,34339
34341,40631,34341
34344,40635,34344
34348,40636,34348
34360,40637,34360
34363,40641,34363
34365,40645,34365
34372,40801,34372
34375,40833,34375
34378,40838,34378
34497,40850,34497
34503,40852,34503
34549,40857,34549
34551,40863,34551
34552,40963,34552
34556,40965,34556
34558,40972,34558
34575,40976,34575
34581,40978,34581
34582,40980,34582
34584,40981,34584
34586,40982,34586
34595,40985,34595
34599,40989,34599
34606,40990,34606
34699,41078,34699
34701,41079,34701
34705,41087,34705
34714,41102,34714
34717,41322,34717
34720,41549,34720
34728,41551,34728
34731,41559,34731
34735,41570,34735
34745,41719,34745
34748,41722,34748
34749,41725,34749
34752,41904,34752
34754,41907,34754
34885,41912,34885
34886,42137,34886
34888,42146,34888
34891,42395,34891
34892,42739,34892
34893,42913,34893
34895,43261,34895
34898,43400,34898
34899,43412,34899
34901,43819,34901
34902,43835,34902
34903,43847,34903
34904,43849,34904
34905,43868,34905
34907,43886,34907
34908,44582,34908
34909,46352,34909
34910,46472,34910
34911,47285,34911
34914,47563,34914
34916,51820,34916
34918,51833,34918
34924,51835,34924
34940,51853,34940
34966,51988,34966
34967,52005,34967
34968,52009,34968
34969,52019,34969
34973,53433,34973
34975,53435,34975
34978,53484,34978
34980,53491,34980
34981,53729,34981
34982,54282,34982
34983,54366,34983
34984,54516,34984
34985,54532,34985
34986,54554,34986
34990,54742,34990
34992,3198,34992
34995,2602,34995
35035,3152,35035
35070,21714,35070
35073,25186,35073
35078,40628,35078
35082,28967,35082
35104,44131,35104
35113,3349,35113
35116,7010,35116
35117,10004,35117
35194,13297,35194
35221,13455,35221
35222,13669,35222
35223,13670,35223
35278,14156,35278
35279,14591,35279
35281,15389,35281
35527,16950,35527
35647,17270,35647
35649,17293,35649
35655,19590,35655
35656,20145,35656
35657,21689,35657
35658,21715,35658
35663,22023,35663
35664,24130,35664
35667,24189,35667
35668,27398,35668
35669,27427,35669
35670,28567,35670
35949,3201,35949
35950,7057,35950
35951,7210,35951
35953,7366,35953
35954,7370,35954
35974,9346,35974
35979,12002,35979
35980,13421,35980
36067,13456,#N/A
36344,15628,36344
36352,16146,36352
36353,16623,36353
36357,16706,36357
36358,17233,36358
36363,17922,36363
36364,18061,36364
36606,18338,36606
36608,18563,36608
36611,19101,36611
36612,20669,36612
36614,21295,36614
36616,21338,36616
36621,22028,36621
36622,23262,36622
36627,23332,36627
36630,23496,36630
36869,23936,36869
36871,24114,36871
36874,24123,36874
36881,24138,36881
36882,24149,36882
36883,24167,36883
36890,24472,36890
36897,24496,36897
36900,24611,36900
36902,24636,36902
36906,24742,36906
36911,24956,36911
36922,25061,36922
36923,25063,36923
37115,25189,37115
37117,25203,37117
37118,25337,37118
37119,25628,37119
37120,25874,37120
37121,26007,37121
37128,26206,37128
37131,26314,37131
37132,26491,37132
37135,26552,37135
37210,26555,37210
37241,26559,37241
37261,26561,37261
37264,27373,37264
37268,27383,37268
37269,27386,37269
37282,27388,37282
37287,27392,37287
37290,27396,37290
37293,27406,37293
37294,27428,37294
37295,27500,37295
37296,27557,37296
37298,27688,37298
37301,27737,37301
37303,27758,37303
37305,27781,37305
37451,27829,37451
37457,28105,37457
37458,28106,37458
37464,28117,37464
37514,28458,37514
37554,28459,37554
37555,28463,37555
37556,28467,37556
37558,28468,37558
37563,28501,37563
37564,28503,37564
37571,28506,37571
37574,28515,37574
37577,28522,37577
37579,28528,37579
37650,28538,37650
37651,28564,37651
37654,28593,37654
37658,28597,37658
37661,28909,37661
37770,28941,37770
37771,28943,37771
37848,28951,37848
37916,28954,37916
37920,28975,37920
37922,28976,37922
37924,29158,37924
37930,29180,37930
37932,29624,37932
37933,29629,37933
37935,29641,37935
37936,29689,37936
37939,29707,37939
37940,29736,37940
37941,29908,37941
37942,29925,37942
37945,29966,37945
37947,30085,37947
37949,30300,37949
37950,30328,37950
38069,30367,38069
38071,31418,38071
38072,31419,38072
38073,31429,38073
38079,31661,38079
38084,31678,38084
38085,31688,38085
38089,32694,38089
38090,34003,38090
38143,34022,38143
38323,34033,38323
38324,34037,38324
38326,34282,38326
38329,34284,38329
38386,34294,38386
38388,34306,38388
38390,34307,38390
38391,34311,38391
38392,34317,38392
38398,34341,38398
38400,34363,38400
38403,34365,38403
38405,34375,38405
38410,34497,38410
38414,34503,38414
38415,34552,38415
38417,34575,38417
38420,34595,38420
38550,34599,38550
38789,34606,38789
38791,34699,38791
38792,34714,38792
38794,34745,38794
38796,34893,38796
38798,34899,38798
38803,34901,38803
38809,34902,38809
38811,34904,38811
38813,34905,38813
38814,34908,38814
38815,34909,38815
38816,34973,38816
38819,34978,38819
38822,34980,38822
38825,34981,38825
38997,34983,38997
39090,34985,39090
39096,34986,39096
39098,35078,39098
39100,35104,39100
39101,35116,39101
39102,35117,39102
39103,35221,39103
39104,35222,39104
39107,35223,39107
39111,35527,39111
39112,35657,39112
39113,35664,39113
39114,35669,39114
39117,35670,39117
39121,35974,39121
39122,35979,39122
39123,35980,39123
39125,36363,39125
39262,36614,39262
39394,36627,39394
39395,36630,39395
39396,36871,39396
39400,36874,39400
39401,36882,39401
39403,36883,39403
39405,36890,39405
39410,36897,39410
39417,36900,39417
39418,36902,39418
39425,36906,39425
39427,36911,39427
39428,36922,39428
39433,37118,39433
39434,37121,39434
39436,37264,39436
39703,37287,39703
39704,37296,39704
39705,37303,39705
39896,37305,39896
39899,37458,39899
39900,37464,39900
39901,37514,39901
39904,37563,39904
39905,37650,39905
39906,37651,39906
39912,37654,39912
39914,37658,39914
39915,37661,39915
39916,37932,39916
39919,37945,39919
39924,38069,39924
39926,38388,39926
39927,38417,39927
39928,38825,39928
39930,39125,39930
39933,39400,39933
39944,39410,39944
39950,39417,39950
39952,39418,39952
39960,39427,39960
39963,39428,39963
39967,39436,39967
39970,39703,39970
39973,39704,39973
39975,39705,39975
40131,39905,40131
40132,39967,40132
40133,39970,40133
40136,39973,40136
40142,39975,40142
40145,40132,40145
40149,40142,40149
40151,40174,40151
40154,40507,40154
40156,40513,40156
40159,40515,40159
40160,40516,40160
40163,40592,40163
40164,40638,40164
40165,40647,40165
40169,40842,40169
40170,40861,40170
40171,40968,40171
40172,40969,40172
40174,41111,40174
40177,41112,40177
40224,41115,40224
40502,41118,40502
40503,41327,40503
40504,41329,40504
40506,41334,40506
40507,41337,40507
40511,41435,40511
40513,41558,40513
40515,41561,40515
40516,41728,40516
40549,41735,#N/A
40592,41737,40592
40617,41895,40617
40621,42737,40621
40623,42899,40623
40624,42914,40624
40625,43275,40625
40628,43405,40628
40631,43408,40631
40635,43409,40635
40636,43836,40636
40637,43842,40637
40638,43846,40638
40641,43866,40641
40645,44411,40645
40647,44574,40647
40648,44579,40648
40651,44583,40651
40652,44584,40652
40653,44587,40653
40801,44701,40801
40833,44707,40833
40838,44836,40838
40839,44838,40839
40842,45162,40842
40850,45230,40850
40852,45233,40852
40857,45237,40857
40861,45238,40861
40863,46500,40863
40963,46598,40963
40965,46602,40965
40968,46607,40968
40969,46909,40969
40972,47070,40972
40976,47072,40976
40978,47077,40978
40980,48254,40980
40981,48255,40981
40982,53739,40982
40985,53871,40985
40989,53892,40989
40990,53910,40990
41078,54004,41078
41079,55180,41079
41087,55189,41087
41102,25625,41102
41111,30508,41111
41112,31673,41112
41115,40172,41115
41118,40511,41118
41322,6955,41322
41327,7175,41327
41329,7376,41329
41334,16051,41334
41337,16964,41337
41435,18177,41435
41549,19391,41549
41551,21529,41551
41558,21550,41558
41559,22415,41559
41561,24108,41561
41570,29690,41570
41719,11804,41719
41722,13314,41722
41725,14160,41725
41728,15608,41728
41735,17079,41735
41737,22016,41737
41895,22972,41895
41904,23258,41904
41907,23339,41907
41912,23382,41912
42137,24169,42137
42146,24430,42146
42395,24470,42395
42737,24486,42737
42739,24627,42739
42899,24638,42899
42913,24665,42913
42914,24951,42914
43261,25059,43261
43275,25180,43275
43400,25937,43400
43405,25942,43405
43408,25946,43408
43409,26558,43409
43412,26568,43412
43657,27047,43657
43819,27192,43819
43835,27415,43835
43836,27422,43836
43842,27435,43842
43846,28165,43846
43847,28170,43847
43849,28470,43849
43850,28482,43850
43866,28490,43866
43868,28495,43868
43886,28496,43886
44131,29179,44131
44411,29621,44411
44574,29632,44574
44579,29643,44579
44582,29660,44582
44583,29669,44583
44584,29701,44584
44587,29739,44587
44701,29910,44701
44707,29999,44707
44734,30000,#N/A
44836,30001,44836
44838,31179,44838
45162,33731,45162
45230,34886,45230
45233,34966,45233
45237,34968,45237
45238,34984,45238
46352,35082,46352
46472,35667,46472
46500,35949,46500
46583,35950,46583
46598,35951,46598
46602,35953,46602
46607,35954,46607
46909,37301,46909
47070,37949,47070
47072,38071,47072
47077,39104,47077
47285,39401,47285
47563,39904,47563
48254,40136,48254
48255,40156,48255
49690,40169,49690
51820,40648,51820
51823,40651,51823
51824,40652,51824
51825,40653,51825
51833,40839,51833
51835,43657,51835
51853,43850,51853
51988,46583,51988
52005,49690,52005
52009,51823,52009
52019,51824,52019
53431,51825,53431
53433,53431,53433
53435,54370,53435
53484,3182,53484
53491,NULL,53491
53729,NULL,53729
53739,NULL,53739
53871,NULL,53871
53892,NULL,53892
53910,NULL,53910
54004,NULL,54004
54282,NULL,54282
54366,NULL,54366
54370,NULL,54370
54516,NULL,54516
54532,NULL,54532
54554,NULL,54554
54742,NULL,54742
55180,NULL,55180
55189,NULL,55189
55488,NULL,55488
55494,NULL,55494
55657,NULL,55657
55952,NULL,55952
55982,NULL,55982
55984,NULL,55984
55995,NULL,55995
56135,NULL,56135
56191,NULL,56191
56195,NULL,56195
57337,62721,#N/A
57396,55657,57396
57482,55952,57482
57506,55982,57506
57653,55984,57653
57837,55995,57837
57840,56135,57840
58099,56191,58099
58105,56195,58105
58396,57396,58396
58398,57506,58398
58404,57653,58404
58470,57837,58470
58573,57840,58573
58596,58099,58596
58677,58105,58677
58681,58396,58681
58924,58398,58924
59014,58404,59014
59081,58573,59081
59862,58924,59862
59972,59014,59972
60802,59081,60802
62579,59862,#N/A
62721,59972,62721
62725,60802,62725
65303,67995,#N/A
65698,67996,#N/A
66825,67997,#N/A
67250,68001,#N/A
67995,68002,67995
67996,68003,67996
67997,68004,67997
68001,68006,68001
68002,68007,68002
68003,68011,68003
68004,68016,68004
68006,68017,68006
68007,68020,68007
68011,68022,68011
68016,68026,68016
68017,68031,68017
68020,68038,68020
68022,68039,68022
68026,68042,68026
68031,68045,68031
68038,68046,68038
68039,68047,68039
68042,68048,68042
68045,68050,68045
68046,68206,68046
68047,68208,68047
68048,68226,68048
68050,68227,68050
68206,68228,68206
68208,68229,68208
68226,68230,68226
68227,68231,68227
68228,68232,68228
68229,68233,68229
68230,68235,68230
68231,68236,68231
68232,68338,68232
68233,68340,68233
68235,68341,68235
68236,68342,68236
68338,68343,68338
68340,68344,68340
68341,68345,68341
68342,68346,68342
68343,68347,68343
